"crime","date","neighborhood"
"AUTO THEFT","10/25/2009","Joyland"
"AUTO THEFT","03/30/2014","Wildwood (NPU-C)"
"LARCENY-FROM VEHICLE","01/18/2017","Inman Park"
"BURGLARY-RESIDENCE","12/17/2015","Riverside"
"LARCENY-FROM VEHICLE","10/15/2015","Castleberry Hill"
"LARCENY-NON VEHICLE","03/06/2015","Berkeley Park"
"BURGLARY-RESIDENCE","04/30/2014",""
"BURGLARY-RESIDENCE","07/30/2015","Ben Hill Terrace"
"AUTO THEFT","01/22/2017","Lindridge/Martin Manor"
"BURGLARY-RESIDENCE","05/18/2011","Mechanicsville"
"AUTO THEFT","06/09/2014","Harland Terrace"
"AUTO THEFT","01/17/2013","Campbellton Road"
"AUTO THEFT","06/21/2010","Dixie Hills"
"AUTO THEFT","05/07/2009","Peoplestown"
"LARCENY-FROM VEHICLE","12/09/2016","Underwood Hills"
"LARCENY-NON VEHICLE","07/04/2016","Adamsville"
"LARCENY-NON VEHICLE","08/21/2010","Grove Park"
"LARCENY-FROM VEHICLE","03/26/2013","Atlanta University Center"
"LARCENY-FROM VEHICLE","08/22/2016","Blandtown"
"AUTO THEFT","09/13/2011","Downtown"
"LARCENY-NON VEHICLE","09/13/2015","Grant Park"
"LARCENY-FROM VEHICLE","01/17/2011","Pittsburgh"
"LARCENY-FROM VEHICLE","09/12/2016","Berkeley Park"
"BURGLARY-NONRES","01/31/2012","Berkeley Park"
"LARCENY-FROM VEHICLE","08/28/2012","Chastain Park"
"LARCENY-NON VEHICLE","09/15/2010","Capitol View Manor"
"AGG ASSAULT","11/14/2013","South Atlanta"
"AGG ASSAULT","06/20/2016","Southwest"
"LARCENY-NON VEHICLE","02/25/2011","Ben Hill Acres"
"LARCENY-FROM VEHICLE","04/20/2014","East Atlanta"
"BURGLARY-RESIDENCE","06/04/2009","Lindbergh/Morosgo"
"BURGLARY-RESIDENCE","05/01/2012","Greenbriar"
"AUTO THEFT","01/02/2012","Thomasville Heights"
"BURGLARY-NONRES","12/27/2016","Riverside"
"LARCENY-FROM VEHICLE","11/24/2013","The Villages at Castleberry H"
"AUTO THEFT","08/23/2011","Summerhill"
